agency_cd	site_no	datetime	tz_cd	Height	219428_00065_cd
USGS	12213100	2/27/2022 15:00	PST	5.31	A
USGS	12213100	2/27/2022 15:15	PST	5.32	A
USGS	12213100	2/27/2022 15:30	PST	5.33	A
USGS	12213100	2/27/2022 15:45	PST	5.34	A
USGS	12213100	2/27/2022 16:00	PST	5.35	A
USGS	12213100	2/27/2022 16:15	PST	5.36	A
USGS	12213100	2/27/2022 16:30	PST	5.37	A
USGS	12213100	2/27/2022 16:45	PST	5.38	A
USGS	12213100	2/27/2022 17:00	PST	5.39	A
USGS	12213100	2/27/2022 17:15	PST	5.4	A
USGS	12213100	2/27/2022 17:30	PST	5.41	A
USGS	12213100	2/27/2022 17:45	PST	5.43	A
USGS	12213100	2/27/2022 18:00	PST	5.45	A
USGS	12213100	2/27/2022 18:15	PST	5.46	A
USGS	12213100	2/27/2022 18:30	PST	5.47	A
USGS	12213100	2/27/2022 18:45	PST	5.49	A
USGS	12213100	2/27/2022 19:00	PST	5.51	A
USGS	12213100	2/27/2022 19:15	PST	5.53	A
USGS	12213100	2/27/2022 19:30	PST	5.55	A
USGS	12213100	2/27/2022 19:45	PST	5.56	A
USGS	12213100	2/27/2022 20:00	PST	5.59	A
USGS	12213100	2/27/2022 20:15	PST	5.6	A
USGS	12213100	2/27/2022 20:30	PST	5.62	A
USGS	12213100	2/27/2022 20:45	PST	5.64	A
USGS	12213100	2/27/2022 21:00	PST	5.65	A
USGS	12213100	2/27/2022 21:15	PST	5.67	A
USGS	12213100	2/27/2022 21:30	PST	5.7	A
USGS	12213100	2/27/2022 21:45	PST	5.71	A
USGS	12213100	2/27/2022 22:00	PST	5.74	A
USGS	12213100	2/27/2022 22:15	PST	5.76	A
USGS	12213100	2/27/2022 22:30	PST	5.78	A
USGS	12213100	2/27/2022 22:45	PST	5.81	A
USGS	12213100	2/27/2022 23:00	PST	5.81	A
USGS	12213100	2/27/2022 23:15	PST	5.85	A
USGS	12213100	2/27/2022 23:30	PST	5.86	A
USGS	12213100	2/27/2022 23:45	PST	5.89	A
USGS	12213100	2/28/2022 0:00	PST	5.92	A
USGS	12213100	2/28/2022 0:15	PST	5.93	A
USGS	12213100	2/28/2022 0:30	PST	5.96	A
USGS	12213100	2/28/2022 0:45	PST	6	A
USGS	12213100	2/28/2022 1:00	PST	6.02	A
USGS	12213100	2/28/2022 1:15	PST	6.05	A
USGS	12213100	2/28/2022 1:30	PST	6.07	A
USGS	12213100	2/28/2022 1:45	PST	6.12	A
USGS	12213100	2/28/2022 2:00	PST	6.13	A
USGS	12213100	2/28/2022 2:15	PST	6.15	A
USGS	12213100	2/28/2022 2:30	PST	6.18	A
USGS	12213100	2/28/2022 2:45	PST	6.2	A
USGS	12213100	2/28/2022 3:00	PST	6.23	A
USGS	12213100	2/28/2022 3:15	PST	6.25	A
USGS	12213100	2/28/2022 3:30	PST	6.27	A
USGS	12213100	2/28/2022 3:45	PST	6.31	A
USGS	12213100	2/28/2022 4:00	PST	6.33	A
USGS	12213100	2/28/2022 4:15	PST	6.35	A
USGS	12213100	2/28/2022 4:30	PST	6.37	A
USGS	12213100	2/28/2022 4:45	PST	6.41	A
USGS	12213100	2/28/2022 5:00	PST	6.43	A
USGS	12213100	2/28/2022 5:15	PST	6.44	A
USGS	12213100	2/28/2022 5:30	PST	6.48	A
USGS	12213100	2/28/2022 5:45	PST	6.48	A
USGS	12213100	2/28/2022 6:00	PST	6.51	A
USGS	12213100	2/28/2022 6:15	PST	6.54	A
USGS	12213100	2/28/2022 6:30	PST	6.55	A
USGS	12213100	2/28/2022 6:45	PST	6.59	A
USGS	12213100	2/28/2022 7:00	PST	6.61	A
USGS	12213100	2/28/2022 7:15	PST	6.65	A
USGS	12213100	2/28/2022 7:30	PST	6.68	A
USGS	12213100	2/28/2022 7:45	PST	6.7	A
USGS	12213100	2/28/2022 8:00	PST	6.75	A
USGS	12213100	2/28/2022 8:15	PST	6.81	A
USGS	12213100	2/28/2022 8:30	PST	6.87	A
USGS	12213100	2/28/2022 8:45	PST	6.92	A
USGS	12213100	2/28/2022 9:00	PST	7	A
USGS	12213100	2/28/2022 9:15	PST	7.08	A
USGS	12213100	2/28/2022 9:30	PST	7.16	A
USGS	12213100	2/28/2022 9:45	PST	7.27	A
USGS	12213100	2/28/2022 10:00	PST	7.36	A
USGS	12213100	2/28/2022 10:15	PST	7.48	A
USGS	12213100	2/28/2022 10:30	PST	7.6	A
USGS	12213100	2/28/2022 10:45	PST	7.71	A
USGS	12213100	2/28/2022 11:00	PST	7.84	A
USGS	12213100	2/28/2022 11:15	PST	7.96	A
USGS	12213100	2/28/2022 11:30	PST	8.07	A
USGS	12213100	2/28/2022 11:45	PST	8.19	A
USGS	12213100	2/28/2022 12:00	PST	8.3	A
USGS	12213100	2/28/2022 12:15	PST	8.43	A
USGS	12213100	2/28/2022 12:30	PST	8.52	A
USGS	12213100	2/28/2022 12:45	PST	8.63	A
USGS	12213100	2/28/2022 13:00	PST	8.72	A
USGS	12213100	2/28/2022 13:15	PST	8.82	A
USGS	12213100	2/28/2022 13:30	PST	8.87	A
USGS	12213100	2/28/2022 13:45	PST	8.96	A
USGS	12213100	2/28/2022 14:00	PST	9.02	A
USGS	12213100	2/28/2022 14:15	PST	9.07	A
USGS	12213100	2/28/2022 14:30	PST	9.13	A
USGS	12213100	2/28/2022 14:45	PST	9.19	A
USGS	12213100	2/28/2022 15:00	PST	9.24	A
USGS	12213100	2/28/2022 15:15	PST	9.26	A
USGS	12213100	2/28/2022 15:30	PST	9.3	A
USGS	12213100	2/28/2022 15:45	PST	9.33	A
USGS	12213100	2/28/2022 16:00	PST	9.37	A
USGS	12213100	2/28/2022 16:15	PST	9.39	A
USGS	12213100	2/28/2022 16:30	PST	9.41	A
USGS	12213100	2/28/2022 16:45	PST	9.44	A
USGS	12213100	2/28/2022 17:00	PST	9.48	A
USGS	12213100	2/28/2022 17:15	PST	9.49	A
USGS	12213100	2/28/2022 17:30	PST	9.54	A
USGS	12213100	2/28/2022 17:45	PST	9.55	A
